INSERT ALL 
 INTO "PSE1"."Warenkorb" VALUES ('0', '1727') 
 INTO "PSE1"."Warenkorb" VALUES ('3056', '1216') 
 INTO "PSE1"."Warenkorb" VALUES ('3057', '298') 
 INTO "PSE1"."Warenkorb" VALUES ('3058', '1224') 
 INTO "PSE1"."Warenkorb" VALUES ('3059', '477') 
 INTO "PSE1"."Warenkorb" VALUES ('3060', '1491') 
 INTO "PSE1"."Warenkorb" VALUES ('3061', '502') 
 INTO "PSE1"."Warenkorb" VALUES ('3062', '434') 
 INTO "PSE1"."Warenkorb" VALUES ('3063', '1404') 
 INTO "PSE1"."Warenkorb" VALUES ('3064', '1530') 
 INTO "PSE1"."Warenkorb" VALUES ('3065', '1939') 
 INTO "PSE1"."Warenkorb" VALUES ('3066', '1654') 
 INTO "PSE1"."Warenkorb" VALUES ('3067', '1552') 
 INTO "PSE1"."Warenkorb" VALUES ('3068', '601') 
 INTO "PSE1"."Warenkorb" VALUES ('3069', '232') 
 INTO "PSE1"."Warenkorb" VALUES ('3070', '518') 
 INTO "PSE1"."Warenkorb" VALUES ('3071', '51') 
 INTO "PSE1"."Warenkorb" VALUES ('3072', '1693') 
 INTO "PSE1"."Warenkorb" VALUES ('3073', '750') 
 INTO "PSE1"."Warenkorb" VALUES ('3074', '1988') 
 INTO "PSE1"."Warenkorb" VALUES ('3075', '1390') 
 INTO "PSE1"."Warenkorb" VALUES ('3076', '1226') 
 INTO "PSE1"."Warenkorb" VALUES ('3077', '1556') 
 INTO "PSE1"."Warenkorb" VALUES ('3078', '1190') 
 INTO "PSE1"."Warenkorb" VALUES ('3079', '1463') 
 INTO "PSE1"."Warenkorb" VALUES ('3080', '1012') 
 INTO "PSE1"."Warenkorb" VALUES ('3081', '1551') 
 INTO "PSE1"."Warenkorb" VALUES ('3082', '822') 
 INTO "PSE1"."Warenkorb" VALUES ('3083', '1634') 
 INTO "PSE1"."Warenkorb" VALUES ('3084', '1974') 
 INTO "PSE1"."Warenkorb" VALUES ('3085', '44') 
 INTO "PSE1"."Warenkorb" VALUES ('3086', '1684') 
 INTO "PSE1"."Warenkorb" VALUES ('3087', '453') 
 INTO "PSE1"."Warenkorb" VALUES ('3088', '1303') 
 INTO "PSE1"."Warenkorb" VALUES ('3089', '1594') 
 INTO "PSE1"."Warenkorb" VALUES ('3090', '1517') 
 INTO "PSE1"."Warenkorb" VALUES ('3091', '1261') 
 INTO "PSE1"."Warenkorb" VALUES ('3092', '1933') 
 INTO "PSE1"."Warenkorb" VALUES ('3093', '1255') 
 INTO "PSE1"."Warenkorb" VALUES ('3094', '306') 
 INTO "PSE1"."Warenkorb" VALUES ('3095', '340') 
 INTO "PSE1"."Warenkorb" VALUES ('3096', '159') 
 INTO "PSE1"."Warenkorb" VALUES ('3097', '1940') 
 INTO "PSE1"."Warenkorb" VALUES ('3098', '327') 
 INTO "PSE1"."Warenkorb" VALUES ('3099', '1955') 
 INTO "PSE1"."Warenkorb" VALUES ('3100', '1052') 
 INTO "PSE1"."Warenkorb" VALUES ('3101', '489') 
 INTO "PSE1"."Warenkorb" VALUES ('3102', '1128') 
 INTO "PSE1"."Warenkorb" VALUES ('3103', '965') 
 INTO "PSE1"."Warenkorb" VALUES ('3104', '1603') 
 INTO "PSE1"."Warenkorb" VALUES ('3105', '1572') 
 INTO "PSE1"."Warenkorb" VALUES ('3106', '523') 
 INTO "PSE1"."Warenkorb" VALUES ('3107', '1473') 
 INTO "PSE1"."Warenkorb" VALUES ('3108', '579') 
 INTO "PSE1"."Warenkorb" VALUES ('3109', '364') 
 INTO "PSE1"."Warenkorb" VALUES ('3110', '608') 
 INTO "PSE1"."Warenkorb" VALUES ('3111', '228') 
 INTO "PSE1"."Warenkorb" VALUES ('3112', '1885') 
 INTO "PSE1"."Warenkorb" VALUES ('3113', '1487') 
 INTO "PSE1"."Warenkorb" VALUES ('3114', '1174') 
 INTO "PSE1"."Warenkorb" VALUES ('3115', '1563') 
 INTO "PSE1"."Warenkorb" VALUES ('3116', '144') 
 INTO "PSE1"."Warenkorb" VALUES ('3117', '1163') 
 INTO "PSE1"."Warenkorb" VALUES ('3118', '841') 
 INTO "PSE1"."Warenkorb" VALUES ('3119', '883') 
 INTO "PSE1"."Warenkorb" VALUES ('3120', '796') 
 INTO "PSE1"."Warenkorb" VALUES ('3121', '319') 
 INTO "PSE1"."Warenkorb" VALUES ('3122', '301') 
 INTO "PSE1"."Warenkorb" VALUES ('3123', '1668') 
 INTO "PSE1"."Warenkorb" VALUES ('3124', '388') 
 INTO "PSE1"."Warenkorb" VALUES ('3125', '993') 
 INTO "PSE1"."Warenkorb" VALUES ('3126', '13') 
 INTO "PSE1"."Warenkorb" VALUES ('3127', '1080') 
 INTO "PSE1"."Warenkorb" VALUES ('3128', '1600') 
 INTO "PSE1"."Warenkorb" VALUES ('3129', '1530') 
 INTO "PSE1"."Warenkorb" VALUES ('3130', '1270') 
 INTO "PSE1"."Warenkorb" VALUES ('3131', '1568') 
 INTO "PSE1"."Warenkorb" VALUES ('3132', '217') 
 INTO "PSE1"."Warenkorb" VALUES ('3133', '1181') 
 INTO "PSE1"."Warenkorb" VALUES ('3134', '1275') 
 INTO "PSE1"."Warenkorb" VALUES ('3135', '1569') 
 INTO "PSE1"."Warenkorb" VALUES ('3136', '148') 
 INTO "PSE1"."Warenkorb" VALUES ('3137', '1257') 
 INTO "PSE1"."Warenkorb" VALUES ('3138', '27') 
 INTO "PSE1"."Warenkorb" VALUES ('3139', '1306') 
 INTO "PSE1"."Warenkorb" VALUES ('3140', '640') 
 INTO "PSE1"."Warenkorb" VALUES ('3141', '981') 
 INTO "PSE1"."Warenkorb" VALUES ('3142', '543') 
 INTO "PSE1"."Warenkorb" VALUES ('3143', '1749') 
 INTO "PSE1"."Warenkorb" VALUES ('3144', '1191') 
 INTO "PSE1"."Warenkorb" VALUES ('3145', '655') 
 INTO "PSE1"."Warenkorb" VALUES ('3146', '632') 
 INTO "PSE1"."Warenkorb" VALUES ('3147', '255') 
 INTO "PSE1"."Warenkorb" VALUES ('3148', '941') 
 INTO "PSE1"."Warenkorb" VALUES ('3149', '1131') 
 INTO "PSE1"."Warenkorb" VALUES ('3150', '630') 
 INTO "PSE1"."Warenkorb" VALUES ('3151', '667') 
 INTO "PSE1"."Warenkorb" VALUES ('3152', '1700') 
 INTO "PSE1"."Warenkorb" VALUES ('3153', '433') 
 INTO "PSE1"."Warenkorb" VALUES ('3154', '1666') 
 INTO "PSE1"."Warenkorb" VALUES ('3155', '372') 
 INTO "PSE1"."Warenkorb" VALUES ('3156', '1876') 
 INTO "PSE1"."Warenkorb" VALUES ('3157', '1657') 
 INTO "PSE1"."Warenkorb" VALUES ('3158', '1261') 
 INTO "PSE1"."Warenkorb" VALUES ('3159', '8') 
 INTO "PSE1"."Warenkorb" VALUES ('3160', '1518') 
 INTO "PSE1"."Warenkorb" VALUES ('3161', '1289') 
 INTO "PSE1"."Warenkorb" VALUES ('3162', '975') 
 INTO "PSE1"."Warenkorb" VALUES ('3163', '770') 
 INTO "PSE1"."Warenkorb" VALUES ('3164', '492') 
 INTO "PSE1"."Warenkorb" VALUES ('3165', '1940') 
 INTO "PSE1"."Warenkorb" VALUES ('3166', '1451') 
 INTO "PSE1"."Warenkorb" VALUES ('3167', '1181') 
 INTO "PSE1"."Warenkorb" VALUES ('3168', '263') 
 INTO "PSE1"."Warenkorb" VALUES ('3169', '178') 
 INTO "PSE1"."Warenkorb" VALUES ('3170', '171') 
 INTO "PSE1"."Warenkorb" VALUES ('3171', '1214') 
 INTO "PSE1"."Warenkorb" VALUES ('3172', '315') 
 INTO "PSE1"."Warenkorb" VALUES ('3173', '216') 
 INTO "PSE1"."Warenkorb" VALUES ('3174', '806') 
 INTO "PSE1"."Warenkorb" VALUES ('3175', '1061') 
 INTO "PSE1"."Warenkorb" VALUES ('3176', '1985') 
 INTO "PSE1"."Warenkorb" VALUES ('3177', '533') 
 INTO "PSE1"."Warenkorb" VALUES ('3178', '664') 
 INTO "PSE1"."Warenkorb" VALUES ('3179', '615') 
 INTO "PSE1"."Warenkorb" VALUES ('3180', '962') 
 INTO "PSE1"."Warenkorb" VALUES ('3181', '1933') 
 INTO "PSE1"."Warenkorb" VALUES ('3182', '968') 
 INTO "PSE1"."Warenkorb" VALUES ('3183', '383') 
 INTO "PSE1"."Warenkorb" VALUES ('3184', '72') 
 INTO "PSE1"."Warenkorb" VALUES ('3185', '160') 
 INTO "PSE1"."Warenkorb" VALUES ('3186', '95') 
 INTO "PSE1"."Warenkorb" VALUES ('3187', '380') 
 INTO "PSE1"."Warenkorb" VALUES ('3188', '383') 
 INTO "PSE1"."Warenkorb" VALUES ('3189', '437') 
 INTO "PSE1"."Warenkorb" VALUES ('3190', '1329') 
 INTO "PSE1"."Warenkorb" VALUES ('3191', '1092') 
 INTO "PSE1"."Warenkorb" VALUES ('3192', '1077') 
 INTO "PSE1"."Warenkorb" VALUES ('3193', '660') 
 INTO "PSE1"."Warenkorb" VALUES ('3194', '1781') 
 INTO "PSE1"."Warenkorb" VALUES ('3195', '1926') 
 INTO "PSE1"."Warenkorb" VALUES ('3196', '242') 
 INTO "PSE1"."Warenkorb" VALUES ('3197', '558') 
 INTO "PSE1"."Warenkorb" VALUES ('3198', '596') 
 INTO "PSE1"."Warenkorb" VALUES ('3199', '997') 
 INTO "PSE1"."Warenkorb" VALUES ('3200', '540') 
 INTO "PSE1"."Warenkorb" VALUES ('3201', '287') 
 INTO "PSE1"."Warenkorb" VALUES ('3202', '708') 
 INTO "PSE1"."Warenkorb" VALUES ('3203', '490') 
 INTO "PSE1"."Warenkorb" VALUES ('3204', '1243') 
 INTO "PSE1"."Warenkorb" VALUES ('3205', '408') 
 INTO "PSE1"."Warenkorb" VALUES ('3206', '93') 
 INTO "PSE1"."Warenkorb" VALUES ('3207', '6') 
 INTO "PSE1"."Warenkorb" VALUES ('3208', '1770') 
 INTO "PSE1"."Warenkorb" VALUES ('3209', '581') 
 INTO "PSE1"."Warenkorb" VALUES ('3210', '468') 
 INTO "PSE1"."Warenkorb" VALUES ('3211', '470') 
 INTO "PSE1"."Warenkorb" VALUES ('3212', '780') 
 INTO "PSE1"."Warenkorb" VALUES ('3213', '1278') 
 INTO "PSE1"."Warenkorb" VALUES ('3214', '1672') 
 INTO "PSE1"."Warenkorb" VALUES ('3215', '806') 
 INTO "PSE1"."Warenkorb" VALUES ('3216', '1576') 
 INTO "PSE1"."Warenkorb" VALUES ('3217', '990') 
 INTO "PSE1"."Warenkorb" VALUES ('3218', '1368') 
 INTO "PSE1"."Warenkorb" VALUES ('3219', '1794') 
 INTO "PSE1"."Warenkorb" VALUES ('3220', '1642') 
 INTO "PSE1"."Warenkorb" VALUES ('3221', '1012') 
 INTO "PSE1"."Warenkorb" VALUES ('3222', '1488') 
 INTO "PSE1"."Warenkorb" VALUES ('3223', '1884') 
 INTO "PSE1"."Warenkorb" VALUES ('3224', '1419') 
 INTO "PSE1"."Warenkorb" VALUES ('3225', '1768') 
 INTO "PSE1"."Warenkorb" VALUES ('3226', '1388') 
 INTO "PSE1"."Warenkorb" VALUES ('3227', '1448') 
 INTO "PSE1"."Warenkorb" VALUES ('3228', '1709') 
 INTO "PSE1"."Warenkorb" VALUES ('3229', '1021') 
 INTO "PSE1"."Warenkorb" VALUES ('3230', '5') 
 INTO "PSE1"."Warenkorb" VALUES ('3231', '1754') 
 INTO "PSE1"."Warenkorb" VALUES ('3232', '1946') 
 INTO "PSE1"."Warenkorb" VALUES ('3233', '636') 
 INTO "PSE1"."Warenkorb" VALUES ('3234', '1592') 
 INTO "PSE1"."Warenkorb" VALUES ('3235', '643') 
 INTO "PSE1"."Warenkorb" VALUES ('3236', '335') 
 INTO "PSE1"."Warenkorb" VALUES ('3237', '1321') 
 INTO "PSE1"."Warenkorb" VALUES ('3238', '1597') 
 INTO "PSE1"."Warenkorb" VALUES ('3239', '889') 
 INTO "PSE1"."Warenkorb" VALUES ('3240', '919') 
 INTO "PSE1"."Warenkorb" VALUES ('3241', '1287') 
 INTO "PSE1"."Warenkorb" VALUES ('3242', '482') 
 INTO "PSE1"."Warenkorb" VALUES ('3243', '963') 
 INTO "PSE1"."Warenkorb" VALUES ('3244', '491') 
 INTO "PSE1"."Warenkorb" VALUES ('3245', '1101') 
 INTO "PSE1"."Warenkorb" VALUES ('3246', '1050') 
 INTO "PSE1"."Warenkorb" VALUES ('3247', '1917') 
 INTO "PSE1"."Warenkorb" VALUES ('3248', '1688') 
 INTO "PSE1"."Warenkorb" VALUES ('3249', '1955') 
 INTO "PSE1"."Warenkorb" VALUES ('3250', '1388') 
 INTO "PSE1"."Warenkorb" VALUES ('3251', '1393') 
 INTO "PSE1"."Warenkorb" VALUES ('3252', '360') 
 INTO "PSE1"."Warenkorb" VALUES ('3253', '978') 
 INTO "PSE1"."Warenkorb" VALUES ('3254', '1638') 
 INTO "PSE1"."Warenkorb" VALUES ('3255', '196') 
 INTO "PSE1"."Warenkorb" VALUES ('3256', '301') 
 INTO "PSE1"."Warenkorb" VALUES ('3257', '1540') 
 INTO "PSE1"."Warenkorb" VALUES ('3258', '1706') 
 INTO "PSE1"."Warenkorb" VALUES ('3259', '1632') 
 INTO "PSE1"."Warenkorb" VALUES ('3260', '1240') 
 INTO "PSE1"."Warenkorb" VALUES ('3261', '551') 
 INTO "PSE1"."Warenkorb" VALUES ('3262', '1100') 
 INTO "PSE1"."Warenkorb" VALUES ('3263', '689') 
 INTO "PSE1"."Warenkorb" VALUES ('3264', '775') 
 INTO "PSE1"."Warenkorb" VALUES ('3265', '1688') 
 INTO "PSE1"."Warenkorb" VALUES ('3266', '867') 
 INTO "PSE1"."Warenkorb" VALUES ('3267', '1306') 
 INTO "PSE1"."Warenkorb" VALUES ('3268', '1968') 
 INTO "PSE1"."Warenkorb" VALUES ('3269', '304') 
 INTO "PSE1"."Warenkorb" VALUES ('3270', '1426') 
 INTO "PSE1"."Warenkorb" VALUES ('3271', '1470') 
 INTO "PSE1"."Warenkorb" VALUES ('3272', '50') 
 INTO "PSE1"."Warenkorb" VALUES ('3273', '549') 
 INTO "PSE1"."Warenkorb" VALUES ('3274', '1745') 
 INTO "PSE1"."Warenkorb" VALUES ('3275', '162') 
 INTO "PSE1"."Warenkorb" VALUES ('3276', '50') 
 INTO "PSE1"."Warenkorb" VALUES ('3277', '986') 
 INTO "PSE1"."Warenkorb" VALUES ('3278', '1495') 
 INTO "PSE1"."Warenkorb" VALUES ('3279', '1455') 
 INTO "PSE1"."Warenkorb" VALUES ('3280', '1013') 
 INTO "PSE1"."Warenkorb" VALUES ('3281', '1301') 
 INTO "PSE1"."Warenkorb" VALUES ('3282', '809') 
 INTO "PSE1"."Warenkorb" VALUES ('3283', '1543') 
 INTO "PSE1"."Warenkorb" VALUES ('3284', '1872') 
 INTO "PSE1"."Warenkorb" VALUES ('3285', '682') 
 INTO "PSE1"."Warenkorb" VALUES ('3286', '708') 
 INTO "PSE1"."Warenkorb" VALUES ('3287', '477') 
 INTO "PSE1"."Warenkorb" VALUES ('3288', '65') 
 INTO "PSE1"."Warenkorb" VALUES ('3289', '773') 
 INTO "PSE1"."Warenkorb" VALUES ('3290', '1105') 
 INTO "PSE1"."Warenkorb" VALUES ('3291', '924') 
 INTO "PSE1"."Warenkorb" VALUES ('3292', '887') 
 INTO "PSE1"."Warenkorb" VALUES ('3293', '1962') 
 INTO "PSE1"."Warenkorb" VALUES ('3294', '32') 
 INTO "PSE1"."Warenkorb" VALUES ('3295', '1410') 
 INTO "PSE1"."Warenkorb" VALUES ('3296', '625') 
 INTO "PSE1"."Warenkorb" VALUES ('3297', '1667') 
 INTO "PSE1"."Warenkorb" VALUES ('3298', '677') 
 INTO "PSE1"."Warenkorb" VALUES ('3299', '1896') 
 INTO "PSE1"."Warenkorb" VALUES ('3300', '1995') 
 INTO "PSE1"."Warenkorb" VALUES ('3301', '1443') 
 INTO "PSE1"."Warenkorb" VALUES ('3302', '931') 
 INTO "PSE1"."Warenkorb" VALUES ('3303', '1789') 
 INTO "PSE1"."Warenkorb" VALUES ('3304', '1601') 
 INTO "PSE1"."Warenkorb" VALUES ('3305', '840') 
 INTO "PSE1"."Warenkorb" VALUES ('3306', '541') 
 INTO "PSE1"."Warenkorb" VALUES ('3307', '1226') 
 INTO "PSE1"."Warenkorb" VALUES ('3308', '1112') 
 INTO "PSE1"."Warenkorb" VALUES ('3309', '1073') 
 INTO "PSE1"."Warenkorb" VALUES ('3310', '542') 
 INTO "PSE1"."Warenkorb" VALUES ('3311', '909') 
 INTO "PSE1"."Warenkorb" VALUES ('3312', '1845') 
 INTO "PSE1"."Warenkorb" VALUES ('3313', '477') 
 INTO "PSE1"."Warenkorb" VALUES ('3314', '1873') 
 INTO "PSE1"."Warenkorb" VALUES ('3315', '724') 
 INTO "PSE1"."Warenkorb" VALUES ('3316', '390') 
 INTO "PSE1"."Warenkorb" VALUES ('3317', '969') 
 INTO "PSE1"."Warenkorb" VALUES ('3318', '1738') 
 INTO "PSE1"."Warenkorb" VALUES ('3319', '617') 
 INTO "PSE1"."Warenkorb" VALUES ('3320', '359') 
 INTO "PSE1"."Warenkorb" VALUES ('3321', '1101') 
 INTO "PSE1"."Warenkorb" VALUES ('3322', '199') 
 INTO "PSE1"."Warenkorb" VALUES ('3323', '158') 
 INTO "PSE1"."Warenkorb" VALUES ('3324', '654') 
 INTO "PSE1"."Warenkorb" VALUES ('3325', '996') 
 INTO "PSE1"."Warenkorb" VALUES ('3326', '702') 
 INTO "PSE1"."Warenkorb" VALUES ('3327', '1001') 
 INTO "PSE1"."Warenkorb" VALUES ('3328', '394') 
 INTO "PSE1"."Warenkorb" VALUES ('3329', '172') 
 INTO "PSE1"."Warenkorb" VALUES ('3330', '1494') 
 INTO "PSE1"."Warenkorb" VALUES ('3331', '931') 
 INTO "PSE1"."Warenkorb" VALUES ('3332', '933') 
 INTO "PSE1"."Warenkorb" VALUES ('3333', '34') 
 INTO "PSE1"."Warenkorb" VALUES ('3334', '1962') 
 INTO "PSE1"."Warenkorb" VALUES ('3335', '1831') 
 INTO "PSE1"."Warenkorb" VALUES ('3336', '797') 
 INTO "PSE1"."Warenkorb" VALUES ('3337', '1416') 
 INTO "PSE1"."Warenkorb" VALUES ('3338', '440') 
 INTO "PSE1"."Warenkorb" VALUES ('3339', '1631') 
 INTO "PSE1"."Warenkorb" VALUES ('3340', '1240') 
 INTO "PSE1"."Warenkorb" VALUES ('3341', '864') 
 INTO "PSE1"."Warenkorb" VALUES ('3342', '1949') 
 INTO "PSE1"."Warenkorb" VALUES ('3343', '1455') 
 INTO "PSE1"."Warenkorb" VALUES ('3344', '752') 
 INTO "PSE1"."Warenkorb" VALUES ('3345', '877') 
 INTO "PSE1"."Warenkorb" VALUES ('3346', '1121') 
 INTO "PSE1"."Warenkorb" VALUES ('3347', '655') 
 INTO "PSE1"."Warenkorb" VALUES ('3348', '1561') 
 INTO "PSE1"."Warenkorb" VALUES ('3349', '325') 
 INTO "PSE1"."Warenkorb" VALUES ('3350', '1459') 
 INTO "PSE1"."Warenkorb" VALUES ('3351', '1224') 
 INTO "PSE1"."Warenkorb" VALUES ('3352', '1028') 
 INTO "PSE1"."Warenkorb" VALUES ('3353', '470') 
 INTO "PSE1"."Warenkorb" VALUES ('3354', '1412') 
 INTO "PSE1"."Warenkorb" VALUES ('3355', '1159') 
 INTO "PSE1"."Warenkorb" VALUES ('3356', '1832') 
 INTO "PSE1"."Warenkorb" VALUES ('3357', '667') 
 INTO "PSE1"."Warenkorb" VALUES ('3358', '1252') 
 INTO "PSE1"."Warenkorb" VALUES ('3359', '534') 
 INTO "PSE1"."Warenkorb" VALUES ('3360', '1178') 
 INTO "PSE1"."Warenkorb" VALUES ('3361', '1489') 
 INTO "PSE1"."Warenkorb" VALUES ('3362', '1940') 
 INTO "PSE1"."Warenkorb" VALUES ('3363', '1981') 
 INTO "PSE1"."Warenkorb" VALUES ('3364', '1680') 
 INTO "PSE1"."Warenkorb" VALUES ('3365', '1270') 
 INTO "PSE1"."Warenkorb" VALUES ('3366', '283') 
 INTO "PSE1"."Warenkorb" VALUES ('3367', '1675') 
 INTO "PSE1"."Warenkorb" VALUES ('3368', '1425') 
 INTO "PSE1"."Warenkorb" VALUES ('3369', '158') 
 INTO "PSE1"."Warenkorb" VALUES ('3370', '1146') 
 INTO "PSE1"."Warenkorb" VALUES ('3371', '1291') 
 INTO "PSE1"."Warenkorb" VALUES ('3372', '466') 
 INTO "PSE1"."Warenkorb" VALUES ('3373', '502') 
 INTO "PSE1"."Warenkorb" VALUES ('3374', '357') 
 INTO "PSE1"."Warenkorb" VALUES ('3375', '659') 
 INTO "PSE1"."Warenkorb" VALUES ('3376', '708') 
 INTO "PSE1"."Warenkorb" VALUES ('3377', '1569') 
 INTO "PSE1"."Warenkorb" VALUES ('3378', '1203') 
 INTO "PSE1"."Warenkorb" VALUES ('3379', '615') 
 INTO "PSE1"."Warenkorb" VALUES ('3380', '786') 
 INTO "PSE1"."Warenkorb" VALUES ('3381', '1786') 
 INTO "PSE1"."Warenkorb" VALUES ('3382', '338') 
 INTO "PSE1"."Warenkorb" VALUES ('3383', '1111') 
 INTO "PSE1"."Warenkorb" VALUES ('3384', '1786') 
 INTO "PSE1"."Warenkorb" VALUES ('3385', '1471') 
 INTO "PSE1"."Warenkorb" VALUES ('3386', '523') 
 INTO "PSE1"."Warenkorb" VALUES ('3387', '1434') 
 INTO "PSE1"."Warenkorb" VALUES ('3388', '9') 
 INTO "PSE1"."Warenkorb" VALUES ('3389', '1689') 
 INTO "PSE1"."Warenkorb" VALUES ('3390', '321') 
 INTO "PSE1"."Warenkorb" VALUES ('3391', '409') 
 INTO "PSE1"."Warenkorb" VALUES ('3392', '1808') 
 INTO "PSE1"."Warenkorb" VALUES ('3393', '1620') 
 INTO "PSE1"."Warenkorb" VALUES ('3394', '960') 
 INTO "PSE1"."Warenkorb" VALUES ('3395', '462') 
 INTO "PSE1"."Warenkorb" VALUES ('3396', '541') 
 INTO "PSE1"."Warenkorb" VALUES ('3397', '1783') 
 INTO "PSE1"."Warenkorb" VALUES ('3398', '1759') 
 INTO "PSE1"."Warenkorb" VALUES ('3399', '1654') 
 INTO "PSE1"."Warenkorb" VALUES ('3400', '1235') 
 INTO "PSE1"."Warenkorb" VALUES ('3401', '1017') 
 INTO "PSE1"."Warenkorb" VALUES ('3402', '1552') 
 INTO "PSE1"."Warenkorb" VALUES ('3403', '880') 
 INTO "PSE1"."Warenkorb" VALUES ('3404', '1614') 
 INTO "PSE1"."Warenkorb" VALUES ('3405', '337') 
 INTO "PSE1"."Warenkorb" VALUES ('3406', '1503') 
 INTO "PSE1"."Warenkorb" VALUES ('3407', '570') 
 INTO "PSE1"."Warenkorb" VALUES ('3408', '1004') 
 INTO "PSE1"."Warenkorb" VALUES ('3409', '731') 
 INTO "PSE1"."Warenkorb" VALUES ('3410', '1968') 
 INTO "PSE1"."Warenkorb" VALUES ('3411', '154') 
 INTO "PSE1"."Warenkorb" VALUES ('3412', '100') 
 INTO "PSE1"."Warenkorb" VALUES ('3413', '309') 
 INTO "PSE1"."Warenkorb" VALUES ('3414', '1659') 
 INTO "PSE1"."Warenkorb" VALUES ('3415', '491') 
 INTO "PSE1"."Warenkorb" VALUES ('3416', '611') 
 INTO "PSE1"."Warenkorb" VALUES ('3417', '1749') 
 INTO "PSE1"."Warenkorb" VALUES ('3418', '1103') 
 INTO "PSE1"."Warenkorb" VALUES ('3419', '838') 
 INTO "PSE1"."Warenkorb" VALUES ('3420', '287') 
 INTO "PSE1"."Warenkorb" VALUES ('3421', '540') 
 INTO "PSE1"."Warenkorb" VALUES ('3422', '1149') 
 INTO "PSE1"."Warenkorb" VALUES ('3423', '1793') 
 INTO "PSE1"."Warenkorb" VALUES ('3424', '937') 
 INTO "PSE1"."Warenkorb" VALUES ('3425', '1981') 
 INTO "PSE1"."Warenkorb" VALUES ('3426', '745') 
 INTO "PSE1"."Warenkorb" VALUES ('3427', '1170') 
 INTO "PSE1"."Warenkorb" VALUES ('3428', '1697') 
 INTO "PSE1"."Warenkorb" VALUES ('3429', '125') 
 INTO "PSE1"."Warenkorb" VALUES ('3430', '1456') 
 INTO "PSE1"."Warenkorb" VALUES ('3431', '924') 
 INTO "PSE1"."Warenkorb" VALUES ('3432', '123') 
 INTO "PSE1"."Warenkorb" VALUES ('3433', '1981') 
 INTO "PSE1"."Warenkorb" VALUES ('3434', '227') 
 INTO "PSE1"."Warenkorb" VALUES ('3435', '600') 
 INTO "PSE1"."Warenkorb" VALUES ('3436', '1095') 
 INTO "PSE1"."Warenkorb" VALUES ('3437', '661') 
 INTO "PSE1"."Warenkorb" VALUES ('3438', '444') 
 INTO "PSE1"."Warenkorb" VALUES ('3439', '599') 
 INTO "PSE1"."Warenkorb" VALUES ('3440', '171') 
 INTO "PSE1"."Warenkorb" VALUES ('3441', '1046') 
 INTO "PSE1"."Warenkorb" VALUES ('3442', '1521') 
 INTO "PSE1"."Warenkorb" VALUES ('3443', '1440') 
 INTO "PSE1"."Warenkorb" VALUES ('3444', '1796') 
 INTO "PSE1"."Warenkorb" VALUES ('3445', '51') 
 INTO "PSE1"."Warenkorb" VALUES ('3446', '1560') 
 INTO "PSE1"."Warenkorb" VALUES ('3447', '1914') 
 INTO "PSE1"."Warenkorb" VALUES ('3448', '212') 
 INTO "PSE1"."Warenkorb" VALUES ('3449', '1894') 
 INTO "PSE1"."Warenkorb" VALUES ('3450', '371') 
 INTO "PSE1"."Warenkorb" VALUES ('3451', '1422') 
 INTO "PSE1"."Warenkorb" VALUES ('3452', '1264') 
 INTO "PSE1"."Warenkorb" VALUES ('3453', '922') 
 INTO "PSE1"."Warenkorb" VALUES ('3454', '742') 
 INTO "PSE1"."Warenkorb" VALUES ('3455', '1588') 
 INTO "PSE1"."Warenkorb" VALUES ('3456', '953') 
 INTO "PSE1"."Warenkorb" VALUES ('3457', '259') 
 INTO "PSE1"."Warenkorb" VALUES ('3458', '330') 
 INTO "PSE1"."Warenkorb" VALUES ('3459', '257') 
 INTO "PSE1"."Warenkorb" VALUES ('3460', '424') 
 INTO "PSE1"."Warenkorb" VALUES ('3461', '1790') 
 INTO "PSE1"."Warenkorb" VALUES ('3462', '878') 
 INTO "PSE1"."Warenkorb" VALUES ('3463', '959') 
 INTO "PSE1"."Warenkorb" VALUES ('3464', '1178') 
 INTO "PSE1"."Warenkorb" VALUES ('3465', '170') 
 INTO "PSE1"."Warenkorb" VALUES ('3466', '1944') 
 INTO "PSE1"."Warenkorb" VALUES ('3467', '1073') 
 INTO "PSE1"."Warenkorb" VALUES ('3468', '1937') 
 INTO "PSE1"."Warenkorb" VALUES ('3469', '732') 
 INTO "PSE1"."Warenkorb" VALUES ('3470', '1479') 
 INTO "PSE1"."Warenkorb" VALUES ('3471', '127') 
 INTO "PSE1"."Warenkorb" VALUES ('3472', '292') 
 INTO "PSE1"."Warenkorb" VALUES ('3473', '1375') 
 INTO "PSE1"."Warenkorb" VALUES ('3474', '6') 
 INTO "PSE1"."Warenkorb" VALUES ('3475', '827') 
 INTO "PSE1"."Warenkorb" VALUES ('3476', '1528') 
 INTO "PSE1"."Warenkorb" VALUES ('3477', '1190') 
 INTO "PSE1"."Warenkorb" VALUES ('3478', '1039') 
 INTO "PSE1"."Warenkorb" VALUES ('3479', '1389') 
 INTO "PSE1"."Warenkorb" VALUES ('3480', '762') 
 INTO "PSE1"."Warenkorb" VALUES ('3481', '979') 
 INTO "PSE1"."Warenkorb" VALUES ('3482', '679') 
 INTO "PSE1"."Warenkorb" VALUES ('3483', '653') 
 INTO "PSE1"."Warenkorb" VALUES ('3484', '1180') 
